	doc_id	keyword
0	2	LargeLanguageModels RetrievalAugmentedThoughtProcess MonteCarloTreeSearch QuestionAnsweringwithPrivateData EthicsandSecurity
1	4	AcademicDomain KnowledgeGraph DataMining KnowledgeEmbedding NetworkRepresentationLearning Knowledgegraph Academicdomain Datamining Networkembedding Entityalignment
2	40	Knowledgegraph Querying Embedding Multimodaldata Naturallanguagequestions KnowledgeGraphs DeepLearning NaturalLanguageQuestions DataManagement
3	235	SchemaLinkingErrors FilteringUnnecessaryTablesandColumns SchemaLinking CodeLlama34B GPT4 TexttoSQL SchemaLinking SQLGeneration GPT4 Schemalinking
4	282	Vectordatabase Approximatenearestneighborsearch Hashbased Treebased Graphbased Quantizationbased Largelanguagemodels VectorDatabase ApproximateNearestNeighborSearch
5	297	deeplearning database datadrivenapplications imageclassification speechrecognition databases
6	434	vectordatabases similaritysearch queryprocessing storageandindexing queryoptimizationandexecution Vectordatabasemanagementsystems Vectordatamanagement Queryprocessing Storageandindexing Queryoptimizationandexecution
7	447	LargeLanguageModels VectorDatabases Hallucinations OutdatedKnowledge MemoryIssues LargeLanguageModelsLLMs VectorDatabasesVecDBs
8	571	Inmemorydistributeddatabase RDMARemoteDirectMemoryAccess FaRMFaulttolerantAbstractRemoteMemory Highthroughput Lowlatency Inmemorydatabase RDMA FaRM Graphabstraction Queryexecution
9	626	DatabaseManagementSystems DBMSs QueryOptimization PerformanceIssues CardinalityEstimation queryperformance queryoptimization cardinalityestimation DBMStesting CERT
10	727	Databasetesting Testoracle Queryplan Mutationtesting SQL Queryplanguidance
11	800	KnowledgeGraph InternetofThingsIoT LightweightEncryptionAlgorithmsLEA PartialDifferenceDistributionTablePDDT DifferentialSecurityAnalysis
12	846	Graphdatabases Pathqueries Contextfreegrammars Recursivestatemachines NoSQL Contextfreepathquerying ExtendedBackusNaurFormEBNF RecursiveStateMachinesRSM Reachabilityonlyandallpathsproblems contextfreepathquerying regularpathqueries Neo4j
13	928	QueryOptimization SubgraphCardinalityEstimation GraphCompression DataGraphs DatabaseSystems
14	1197	Pretrainedlanguagemodels KnowledgeintensiveNLPtasks RetrievalaugmentedgenerationRAG OpendomainQA Languagegeneration
15	1455	LargeLanguageModels RetrievalAugmentedGeneration Hallucination KnowledgeIntensiveTasks EvaluationFramework
16	1680	LargeLanguageModels RetrievalAugmentedGeneration RAG LLMs AIGeneratedContent AIGC
17	1997	ChatGPT DatabaseManagement SemanticDatabaseRepresentation SemanticIntegration TableJoining
18	2044	KnowledgeGraph LargeLanguageModels QuestionAnswering SemanticRepresentation SQLDatabases
19	2059	TexttoSQL LLMs Contextualunderstanding Responsecoherence ChainofThought
20	2143	LargeLanguageModels RetrievalAugmentedGeneration UnstructuredData DocumentAnalytics SemanticDocumentStructure
